kalimat,type
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya yang mendukung. Kursus ini dirancang untuk mengajarkan keterampilan pemecahan masalah dasar untuk windows 10. dalam kursus ini kami membahas masalah umum yang muncul dan alat untuk membantu Anda menyelesaikannya. beberapa keterampilan yang tercakup dalam kursus ini termasuk pemecahan masalah instalasi windows. mengatasi masalah web browser windows. mengatasi masalah pemasangan aplikasi. mengatasi masalah autentikasi windows. penggunaan alat-alat keandalan windows.,dm
pemecahan masalah instalasi windows menggunakan pemecahan masalah windows dan alat pemantauan pemecahan masalah pengaturan browser web pemecahan masalah instalasi aplikasi pemecahan masalah otentikasi windows,cp
itu mendukung hardware penting,nm
kursus ini adalah bagian dari sertifikat program profesional microsoft di dalamnya support.it mendukung hardware penting dirancang untuk memperkenalkan siswa untuk pemahaman dasar tentang berbagai jenis perangkat komputasi komputer desktop laptop tablet smartphone dll komponen komputer cpu daya memori dll. serta perangkat penyimpanan perangkat periferal menampilkan dan antarmuka koneksi. Kursus ini juga mencakup pengenalan keterampilan pemecahan masalah perangkat keras dasar.,dm
mendeskripsikan perangkat komputasi yang memahami komponen perangkat keras pc dan laptop memecahkan masalah perangkat keras umum menjelajahi perangkat seluler dan yang terhubung memecahkan masalah perangkat seluler umum dan masalah perangkat yang terhubung,cp
visi komputer dan analisis gambar,nm
kursus ini adalah bagian dari program profesional microsoft dalam kecerdasan buatan. Visi komputer adalah seni menyaring informasi yang dapat ditindaklanjuti dari gambar. di tangan ini tentu saja kita akan belajar tentang teknik analisis gambar menggunakan OpenCV dan toolkit kognitif microsoft untuk menyegmentasikan gambar menjadi bagian yang berarti. Kami akan mengeksplorasi evolusi analisis gambar dari teknik pembelajaran klasik ke dalam. kami akan menggunakan pembelajaran transfer dan microsoft resnet untuk melatih model untuk melakukan segmentasi semantik. edx menawarkan bantuan keuangan bagi peserta yang ingin mendapatkan sertifikat terverifikasi tetapi yang mungkin tidak dapat membayar biaya. untuk mengajukan permohonan bantuan keuangan untuk mendaftar di kursus lalu ikuti tautan ini untuk menyelesaikan permohonan bantuan.,dm
menerapkan teknik analisis gambar klasik seperti deteksi tepi DAS dan transformasi jarak serta k berarti pengelompokan untuk membagi dataset dasar. mengimplementasikan algoritma analisis citra klasik menggunakan perpustakaan OpenCV. membandingkan teknik klasifikasi objek pembelajaran klasik dan mendalam. menerapkan microsoft resnet dalam jaringan saraf convolutional cnn ke objek klasifikasi menggunakan toolkit kognitif microsoft. menerapkan pembelajaran transfer untuk menambah resnet18 untuk jaringan fcn sepenuhnya konvolusi untuk segmentasi semantik.,cp
sistem pengenalan suara,nm
"kursus ini merupakan bagian dari program profesional microsoft dalam kecerdasan buatan. Pengembangan dan pemahaman sistem pengenalan suara otomatis adalah aktivitas interdisipliner yang mengambil keahlian dalam linguistik ilmu komputer matematika dan teknik elektro. ketika manusia mengucapkan sepatah kata, mereka menyebabkan suara mereka untuk membuat pola suara yang bervariasi waktu. bunyi-bunyi ini adalah gelombang tekanan yang menyebar melalui udara. suara ditangkap oleh sensor seperti mikrofon atau array mikrofon dan berubah menjadi urutan angka yang mewakili perubahan tekanan dari waktu ke waktu. sistem pengenalan suara otomatis mengubah sinyal tekanan waktu ini menjadi sinyal energi frekuensi waktu. itu telah dilatih pada satu set kurasi suara bicara berlabel dan label suara itu disajikan dengan. label akustik ini dikombinasikan dengan model pelafalan kata dan model urutan kata untuk menciptakan representasi tekstual dari apa yang dikatakan. Bukannya menjelajahi satu bagian dari proses ini secara mendalam kursus ini dirancang untuk memberikan gambaran tentang komponen-komponen modern sistem asr. di setiap kuliah kami menjelaskan komponen tujuan dan struktur umum. di setiap lab siswa menciptakan blok sistem yang berfungsi. di akhir kursus kami akan membangun sistem pengenalan suara hampir seluruhnya dari kode python.edx menawarkan bantuan keuangan bagi peserta didik yang ingin mendapatkan sertifikat terverifikasi tetapi yang mungkin tidak dapat membayar biaya. untuk mengajukan permohonan bantuan keuangan untuk mendaftar di kursus lalu ikuti tautan ini untuk menyelesaikan permohonan bantuan.",dm
Dasar-dasar pengenalan suara pemrosesan sinyal dasar untuk pengenalan suara pemodelan akustik dan pelabelan algoritma umum untuk bahasa pemodelan decoding fitur akustik ke dalam pidato,cp
infrastruktur sebagai kode,nm
kursus ini adalah bagian dari program profesional microsoft di devops.in kursus ini Anda akan mendapatkan pengetahuan dan keterampilan untuk dapat memberikan lingkungan yang stabil dengan cepat andal dan pada skala menghindari konfigurasi manual lingkungan dan menegakkan konsistensi dengan mewakili lingkungan Anda sebagai kode. Tentu saja akan mencakup bidang-bidang seperti template lengan otomatisasi biru yang diinginkan konfigurasi negara dsc devtest laboratorium koki penyebaran dalam penyebaran boneka biru di biru serta alat skenario otomatisasi lainnya dan pilihan.,dm
cara mengonfigurasi dan mengimplementasikan akun otomatisasi biru dan keamanan cara membuat dan menjalankan jendela otomatisasi men-powerhell alur kerja buku teks berbasis alur kerja untuk menyediakan dan menyediakan lingkungan yang diinginkan dsc konfigurasi negara dan cara membuat file konfigurasi dsc mengimpornya ke akun otomatisasi dan kompilasi. cara onboard azure vms untuk otomatisasi dsc cara menghasilkan template lengan manajer sumber daya biru berdasarkan grup sumber daya yang ada dan menerapkan template lengan yang menghapus semua sumber daya dalam kelompok sumber daya cara membuat template lengan dengan menggunakan visual studio. bagaimana menerapkan koki dan penyebaran boneka di biru bagaimana menggunakan koki untuk mengkonfigurasi lab devtest devitest bagaimana mengkonfigurasi integrasi berkelanjutan dan penyebaran berkelanjutan dari database sql biru menggunakan visual studio layanan tim vsts dan visual studio.,cp
windows 10 fitur keamanan,nm
kursus ini adalah bagian dari program profesional microsoft di cybersecurity. Untuk tetap berada di depan kurva keamanan saat Anda mengenal arsitektur keamanan baru dan fitur windows 10  - dan belajar untuk menerapkannya  - mendapatkan wawasan dan pengetahuan yang Anda butuhkan untuk masa depan. Insinyur keamanan microsoft telah mengeraskan sistem operasi pada setiap lapisan tumpukan yang mengurangi permukaan serangan dengan fitur keamanan baru yang membantu melindungi terhadap berbagai ancaman. bergabung dengan tim ahli untuk menjelajahi tingkat keamanan yang semakin meningkat dalam windows 10. Anda akan mulai dengan tumpukan defensif windows 10 termasuk fitur keamanan yang dibundel. mengkonfigurasi pemeriksaan keamanan endpoint alat keamanan tambahan seperti perlindungan informasi windows dan windows bek mengeksploitasi penjaga. dalam kursus ini Anda akan mendapatkan perincian praktis tentang perlindungan dan dukungan ujung ke ujung untuk ekosistem mitra isv dan oem yang lebih besar. keterampilan untuk menghadapi hari ini ancaman keamanan dengan tangan pada latihan laboratorium virtual demo kuis dan ujian akhir. tim ahli yang dikenali berikut ini berkontribusi pada kursus ini dan melemparkan kipling lesley kipling erdal ozkaya tukang kayu neil sami laiho raymond comvalius seth moore michiko mike terrill amitai rottem randy treit.,dm
sifat saat ini dari ancaman keamanan lansekap arsitektur keamanan baru dan fitur windows 10 yang mengurangi ancaman ancaman ke dalam layanan keamanan dibundel dengan windows 10 edisi terbaru pengetahuan tentang infrastruktur keamanan eksternal yang mendukung baseline keamanan baru yang dapat dikonfigurasi menggunakan objek kebijakan grup gpo,cp
integrasi berkelanjutan dan penyebaran berkelanjutan,nm
kursus ini adalah bagian dari program profesional microsoft di devops. kursus ini menyediakan pengetahuan dan keterampilan untuk menerapkan praktik devops integrasi berkelanjutan dan penyebaran berkelanjutan dengan layanan tim studio visual dan microsoft azure. kursus ini akan memberikan pengetahuan tentang integrasi berkelanjutan membangun pengujian otomatis dan pengiriman terus menerus dan penyebaran membangun tes dan rilis ke tingkat berikutnya dengan memahami bagaimana mereka berfungsi dalam lingkungan pengembangan devops. kursus ini juga akan mencakup bagaimana vsts terintegrasi dengan alat pihak ketiga dan oss seperti git dan jenkins kursus dimaksudkan untuk itu profesional yang tertarik untuk menyeberang ke wilayah pengembangan menuju tujuan membangun budaya devops dan pengembang yang ingin belajar lebih banyak tentang proses pengembangan devops untuk memperluas proses gesit untuk pengiriman cepat. siswa yang ingin tahu tentang praktik devops sebagai pergeseran budaya tetapi tidak memiliki pengalaman yang luas dengan vst atau microsoft biru harus dapat mengikuti penjelasan prosedural dan ekspositori integrasi berkesinambungan dan pengiriman berkelanjutan.,dm
mengkonfigurasi opsi kontrol git dan tfvc versi untuk integrasi berkelanjutan bagaimana mengelola hutang teknis dan sumber serta dampaknya. cara membuat build integrasi berkesinambungan menggunakan opsi integrasi manajemen paket vsts seperti nuget semver gitversion dan lainnya. agen dan saluran pipa termasuk cara melepaskan jalur pipa pengiriman terus-menerus dan strategi manajemen rilis mengintegrasikan pengujian otomatis ke dalam jalur pipa rilis Anda menggunakan pengujian miku ui pengujian microsoft test manager memahami berbagai ketersediaan dan opsi pengujian kinerja penyediaan otomatis dan penyediaan infrastruktur dan database d kelompok penyebaran bendera fitur dan penyebaran database otomatisasi pemulihan dalam pipa rilis penyebaran berkelanjutan dengan Jenkins dan vsts,cp
manajemen konfigurasi untuk pengiriman dalam peti kemas,nm
kursus ini adalah bagian dari program profesional microsoft di devops.containers dapat berjalan di komputer lokal Anda tetapi kekuatan sebenarnya terletak pada kenyataan bahwa kontainer yang sama persis ini juga dapat berjalan dalam produksi memberi Anda cara yang sangat bagus dan konsisten untuk membawa perangkat lunak ke produksi. . dalam wadah lingkungan produksi yang dijalankan pada serangkaian mesin yang dikelola oleh perangkat lunak orkestrasi klaster dan kursus ini akan menunjukkan kepada Anda bagaimana Anda dapat membuat penerapan dan mengonfigurasi aplikasi kemas Anda di microsoft azure menggunakan layanan kontainer biru dan kain layanan biru. asf kursus akan mencakup pengelolaan dan pengoperasian kluster penampung Anda yang mengajarkan cara mengonfigurasi kluster dan cara mengelolanya sehingga Anda memiliki wawasan konstan tentang bagaimana aplikasi Anda dalam produksi dan bagaimana Anda dapat meningkatkan dan menurunkan berdasarkan permintaan dan penerapan kontainer tanpa downtime. Anda akan belajar bagaimana klaster bekerja bagaimana mengaturnya dan bagaimana Anda dapat mengelola lingkungan produksi Anda. maka Anda akan mempelajari cara menerapkan penampung dalam kluster menggunakan infrastruktur pengiriman berkelanjutan seperti layanan tim studio visual.,dm
"membuat gambar penampung mengelola beberapa penampung menggunakan alat seperti buruh pelabuhan cara menyiapkan kluster produksi untuk meng-host kontainer Anda, menerapkan aplikasi yang dikemas ke orkestra yang berbeda yang tersedia dalam layanan kontainer biru, yaitu dc os docker swarm dan kubernetes cara meningkatkan kluster untuk mengelola data dan mengatur pemantauan untuk secara proaktif melacak kesehatan cluster dan aplikasi yang dikerahkannya membuat monitor dan mengelola kelompok kain layanan. mengelola dan memelihara kumpulan dan wadah yang di-hosting biru dengan cara yang lebih baik. menyebarkan aplikasi kemas ke salah satu solusi wadah klaster yang tersedia menggunakan pipeline pengiriman berkelanjutan. mengelola kluster ini dalam skenario produksi.",cp
pengujian devops,nm
"kursus ini adalah bagian dari program profesional microsoft di devops.in kursus ini Anda akan belajar tentang berbagai skenario penggunaan jenis pengujian dan manfaat dari pendekatan pengembangan berbasis tes. kami akan membahas praktik terbaik seputar penggunaan unit integrasi api, kinerja penerimaan fungsional, kode otomatis ui, dan pengujian eksplorasi. Anda akan belajar cara membuat dan menganalisis tes-tes ini menggunakan berbagai alat seperti layanan tim studio visual, wawasan aplikasi visual studio dan kerangka kerja pihak ketiga seperti selenium",dm
memahami berbagai jenis pengujian dan skenario penggunaan berdasarkan pengembangan uji coba dan itu manfaat bagaimana membuat dan mengimplementasikan tes unit dan elemen dari tes yang baik cara membuat tes api dasar atau pengujian integrasi pengujian kinerja dan cara membuat tes kinerja menggunakan visual studio dan layanan tim studio visual vsts bagaimana menganalisis hasil tes kinerja menggunakan wawasan aplikasi pengujian eksplorasi dalam konteks visual studio dan microsoft test manager,cp
pemantauan aplikasi dan umpan balik,nm
"kursus ini adalah bagian dari program profesional microsoft di devops. Kursus ini akan mencakup pemantauan aplikasi umum dan praktik loop umpan balik dan prinsip-prinsip termasuk berbagai jenis umpan balik. Anda akan belajar bagaimana umpan balik digunakan dalam berbagai tahap aliran nilai dan manfaatnya. Anda akan belajar tentang berbagai jenis telemetri yang dapat memperoleh manfaat darinya dan bagaimana ia digunakan untuk mengumpulkan data dari pemantauan. Anda akan diperkenalkan ke manajemen kinerja aplikasi, pemantauan dan manajemen untuk kinerja dan ketersediaan aplikasi perangkat lunak. Kami juga akan mencakup pemantauan kesehatan dan kinerja dengan wawasan aplikasi termasuk fitur yang berisi cara menggunakannya untuk memantau penggunaan dan kinerja ketersediaan aplikasi Anda dan diagnostik. kursus ini juga mencakup analisis log termasuk analisis ips log anal manajemen operasi. ini akan mencakup cara mengatur dan mengonfigurasi analisis log untuk pengumpulan data dan cara menggunakan analitik log untuk mencari dan menganalisis data. ini juga mencakup solusi oms serta cara mengkonfigurasi visualisasi dan cara mengkonfigurasi alerts.finally kursus ini akan mencakup alat pemantauan pihak ketiga termasuk inti peninggalan baru dan inti nagios.",dm
